Macro Região;UF;Região;Município;Código Município;Qtd. Empregos Hospedagem;Qtd. Estabelecimentos Hospedagem;Demanda Internacional;Demanda Doméstica;Cluster 2017 (Categoria)
Nordeste;AL;Agreste;Belém;2700805;0;0;0;0;E
Nordeste;AL; Caminhos do São Francisco;Belo Monte;2700904;0;0;0;0;E
Nordeste;AL;Lagoas e Mares do Sul;Boca da Mata;2701001;2;1;0;0;D
Nordeste;AL;Agreste;Cacimbinhas;2701209;0;1;0;14.505;D
Nordeste;AL;Quilombos;Cajueiro;2701308;2;0;0;936;D
Nordeste;AL; Quilombos;Campestre;2701357;0;0;0;0;E
Nordeste;AL; Agreste;Campo Alegre;2701407;0;1;93;1.005;D
Nordeste;AL; Quilombos;Capela;2701704;0;0;0;0;E
Nordeste;AL;Quilombos;Colônia Leopoldina;2702108;0;0;0;0;E
Nordeste;AL;Lagoas e Mares do Sul;Coqueiro Seco;2702207;0;0;0;6.160;D
Nordeste;AL; Lagoas e Mares do Sul;Coruripe;2702306;33;12;0;40.254;C
Nordeste;AL;Caminhos do São Francisco;Delmiro Gouveia;2702405;25;10;237;35.777;C
Nordeste;AL; Região da Caatinga;Dois Riachos;2702504;0;0;0;0;E
Nordeste;AL;Lagoas e Mares do Sul;Feliz Deserto;2702702;0;0;0;4.293;D
Nordeste;AL; Agreste;Girau do Ponciano;2702900;0;0;0;0;E
Nordeste;AL; Quilombos;Ibateguara;2703007;0;1;0;6.160;D
Nordeste;AL; Agreste;Igaci;2703106;0;0;0;0;E
Nordeste;AL;Caminhos do São Francisco;Igreja Nova;2703205;0;1;0;29.010;D
Nordeste;AL;Costa dos Corais;Japaratinga;2703601;240;18;230;42.919;C
Nordeste;AL;Lagoas e Mares do Sul;Jequiá da Praia;2703759;0;1;0;6.553;D
Nordeste;AL; Quilombos;Joaquim Gomes;2703809;0;0;0;0;E
Nordeste;AL;Agreste;Junqueiro;2704005;5;2;0;15.574;D
Nordeste;AL;Grande Maceió;Maceió;2704302;2.877;117;58.865;1.448.550;A
Nordeste;AL;Região da Caatinga;Major Isidoro;2704401;5;1;0;9.659;D
