UF;REGIAO;MUNICIPIO;CATEGORIA
CE;Fortaleza;Maracanaú;D
CE;Serras de Aratanha e Baturité;Maranguape;C
CE;Vale do Acaraú;Meruoca;D
CE;Cariri;Missão Velha;E
CE;Vale do Jaguaribe;Morada Nova;C
CE;Cariri;Nova Olinda;E
CE;Centro Sul/ Vale do Salgado;Orós;C
CE;Litoral Leste;Pacajus;D
CE;Serras de Aratanha e Baturité;Pacatuba;D
CE;Serras de Aratanha e Baturité;Pacoti;D
CE;Serras de Aratanha e Baturité;Palmácia;D
CE;Litoral Oeste;Paracuru;C
CE;Litoral Oeste;Paraipaba;C
CE;Litoral Leste;Pindoretama;D
CE;Sertão Central;Quixadá;C
CE;Sertão Central;Quixeramobim;D
CE;Serras de Aratanha e Baturité;Redenção;D
CE;Cariri;Santana do Cariri;E
CE;Chapada da Ibiapaba;São Benedito;D
CE;Litoral Oeste;São Gonçalo do Amarante;C
CE;Vale do Acaraú;Sobral;B
CE;Vale do Jaguaribe;Solonópole;D
CE;Vale do Jaguaribe;Tabuleiro do Norte;D
CE;Sertão dos Inhamuns;Tauá;C
CE;Sertão Central;Tejuçuoca;E
CE;Chapada da Ibiapaba;Tianguá;C
CE;Litoral Oeste;Trairi;C
CE;Chapada da Ibiapaba;Ubajara;C
CE;Cariri;Várzea Alegre;D
CE;Chapada da Ibiapaba;Viçosa do Ceará;D
DF;Brasília - Patrimônio Cultural da Humanidade;Brasília;A
ES;Montanhas Capixabas;Afonso Cláudio;D
ES;Caparaó;Alegre;C
ES;Costa e da Imigração;Alfredo Chaves;D
ES;Costa e da Imigração;Anchieta;B
ES;Verde e das Águas;Aracruz;C
ES;Doce Pontões Capixaba;Baixo Guandu;D
ES;Pedras, Pão e Mel;BOA ESPERANÇA;D
ES;Montanhas Capixabas;Brejetuba;D
ES;Vales e do Café;Cachoeiro de Itapemirim;C
ES;Metropolitana;Cariacica;C
ES;Montanhas Capixabas;Castelo;D
ES;Doce Pontões Capixaba;Colatina;C
ES;Verde e das Águas;Conceição da Barra;C
ES;Montanhas Capixabas;Conceição do Castelo;D
ES;Caparaó;Divino de São Lourenço;E
ES;Montanhas Capixabas;Domingos Martins;C
ES;Caparaó;Dores do Rio Preto;D
ES;Metropolitana;Fundão;D
ES;Doce Pontões Capixaba;Governador Lindenberg;D
ES;Caparaó;Guaçuí;C
ES;Metropolitana;Guarapari;A
ES;Caparaó;Ibatiba;D
ES;Imigrantes;Ibiraçu;D
ES;Caparaó;Ibitirama;E
ES;Costa e da Imigração;Iconha;E
ES;Caparaó;Irupi;D
ES;Imigrantes;Itaguaçu;D
ES;Imigrantes;Itarana;D
ES;Caparaó;Iúna;C
ES;Caparaó;Jerônimo Monteiro;E
ES;Imigrantes;João Neiva;D
ES;Montanhas Capixabas;Laranja da Terra;D
ES;Verde e das Águas;Linhares;C
ES;Doce Pontões Capixaba;Mantenópolis;D
ES;Costa e da Imigração;Marataízes;C
ES;Montanhas Capixabas;Marechal Floriano;D
ES;Doce Pontões Capixaba;Marilândia;D
ES;Vales e do Café;Mimoso do Sul;D
ES;Doce Terra Morena;Montanha;D
ES;Doce Terra Morena;Mucurici;E
ES;Vales e do Café;Muqui;D
ES;Pedras, Pão e Mel;Nova Venécia;D
ES;Doce Pontões Capixaba;Pancas;D
ES;Costa e da Imigração;Piúma;C
ES;Verde e das Águas;Rio Bananal;D
ES;Imigrantes;Santa Leopoldina;D
ES;Imigrantes;Santa Maria de Jetibá;D
ES;Imigrantes;Santa Teresa;C
ES;Doce Pontões Capixaba;São Domingos do Norte;D
ES;Pedras, Pão e Mel;São Gabriel da Palha;D
ES;Caparaó;São José do Calçado;D
ES;Verde e das Águas;São Mateus;B
ES;Imigrantes;São Roque do Canaã;D
ES;Metropolitana;Serra;B
ES;Verde e das Águas;Sooretama;D
ES;Montanhas Capixabas;Vargem Alta;D
ES;Montanhas Capixabas;Venda Nova do Imigrante;D
ES;Metropolitana;Viana;D
ES;Pedras, Pão e Mel;Vila Pavão;E
ES;Pedras, Pão e Mel;Vila Valério;D
ES;Metropolitana;Vila Velha;B
ES;Metropolitana;Vitória;A
GO;Região Turística do Ouro e Cristais;Abadiânia;C
GO;Região Turística do Ouro e Cristais;Alexânia;C
GO;Região Turística da Chapada dos Veadeiros;Alto Paraíso de Goiás;C
GO;Região Turística dos Negócios e Tradições;Anápolis;B
GO;Região Turística dos Negócios e Tradições;Aparecida de Goiânia;C
GO;Região Turística Vale do Araguaia;Aragarças;C
GO;Região Turística Vale do Araguaia;Aruanã;C
GO;Região Turística Vale do Araguaia;Baliza;D
GO;Região Turística dos Negócios e Tradições;Bela Vista de Goiás;D
GO;Região Turística Pegadas no Cerrado;Bom Jardim de Goiás;D
GO;Região Turística da Estrada de Ferro;Bonfinópolis;D
GO;Região Turística Vale do Araguaia;Britânia;D
GO;Região Turística Lagos do Paranaíba;Buriti Alegre;D
GO;Região Turística Lagos do Paranaíba;Cachoeira Dourada;D
GO;Região Turística Lagos do Paranaíba;Caçu;D
GO;Região Turística Pegadas no Cerrado;Caiapônia;D
GO;Região Turística das Águas Quentes;Caldas Novas;A
GO;Região Turística do Ouro e Cristais;Campos Verdes;E
GO;Região Turística da Estrada de Ferro;Catalão;C
GO;Região Turística da Chapada dos Veadeiros;Cavalcante;D
GO;Região Turística Pegadas no Cerrado;Chapadão do Céu;D
GO;Região Turística do Ouro e Cristais;Cidade Ocidental;D
GO;Região Turística do Ouro e Cristais;Cocalzinho de Goiás;D
GO;Região Turística da Chapada dos Veadeiros;Colinas do Sul;D
GO;Região Turística do Ouro e Cristais;Córrego do Ouro;D
GO;Região Turística do Ouro e Cristais;Corumbá de Goiás;D
GO;Região Turística do Ouro e Cristais;Cristalina;C
GO;Região Turística das Águas e Cavernas do Cerrado;Damianópolis;D
GO;Região Turística das Águas e Cavernas do Cerrado;Formosa;C
GO;Região Turística da Estrada de Ferro;Goiandira;D
